_id;gml_id;aasqa;date_maj;partition_field;etat;lib_zone;lib_pol;date_ech;date_dif;code_zone;code_pol
65dff5141c41b960f8a83a12;7685600;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;O3;01/03/2024;29/02/2024;2003;7
65dff5141c41b960f8a83a13;7685613;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM10;01/03/2024;29/02/2024;2003;5
65dff5141c41b960f8a83a14;7685630;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;PM2.5;01/03/2024;29/02/2024;2003;6001
65dff5141c41b960f8a83a15;7685650;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Bassin Lyon Nord-Isère;SO2;01/03/2024;29/02/2024;2003;1
65dff5311c41b960f8a83a16;7685165;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM10;27/02/2024;26/02/2024;2004;5
65dff5311c41b960f8a83a17;7685218;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM2.5;27/02/2024;26/02/2024;2004;6001
65dff5311c41b960f8a83a18;7685223;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;SO2;27/02/2024;26/02/2024;2004;1
65dff5311c41b960f8a83a19;7685238;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;NO2;27/02/2024;26/02/2024;2004;8
65dff5311c41b960f8a83a1a;7685259;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;O3;27/02/2024;26/02/2024;2004;7
65dff5311c41b960f8a83a1b;7685280;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM2.5;28/02/2024;27/02/2024;2004;6001
65dff5311c41b960f8a83a1c;7685281;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;O3;28/02/2024;27/02/2024;2004;7
65dff5311c41b960f8a83a1d;7685295;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;SO2;28/02/2024;27/02/2024;2004;1
65dff5311c41b960f8a83a1e;7685301;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;NO2;28/02/2024;27/02/2024;2004;8
65dff5311c41b960f8a83a1f;7685345;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM10;28/02/2024;27/02/2024;2004;5
65dff5311c41b960f8a83a20;7685385;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM2.5;29/02/2024;27/02/2024;2004;6001
65dff5311c41b960f8a83a21;7685390;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM2.5;29/02/2024;28/02/2024;2004;6001
65dff5311c41b960f8a83a22;7685393;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;PM10;29/02/2024;27/02/2024;2004;5
65dff5311c41b960f8a83a23;7685437;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;O3;29/02/2024;27/02/2024;2004;7
65dff5311c41b960f8a83a24;7685442;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;SO2;29/02/2024;28/02/2024;2004;1
65dff5311c41b960f8a83a25;7685458;84;2024/02/28 17:02:13.505+01;842024w9;PAS DE DEPASSEMENT;Contreforts Massif Central;NO2;29/02/2024;27/02/2024;2004;8
